"Name","Gender","Department","Location","BonusRate","Salary","BonusAmount","TotalPaid","Rating"
"Renaldo Thomassin","Male","Business Development","Kaduna",0.024,73360,1761,75121,"Average"
"Aldrich Glenny","Male","Business Development","Kaduna",0.024,90880,2181,93061,"Average"
"Felicdad Heibel","Male","Business Development","Abuja",0.024,60800,1459,62259,"Average"
"Murial Ickovici","Female","Business Development","Lagos",0.024,72500,1740,74240,"Average"
"Timmy Brenston","Male","Business Development","Lagos",0.024,43700,1049,44749,"Average"
"Hatti Vezey","Female","Business Development","Kaduna",0.024,116240,2790,119030,"Average"
"Colby Reuven","Male","Business Development","Lagos",0.024,101790,2443,104233,"Average"
"Pooh Splevins","Female","Business Development","Lagos",0.024,31020,744,31764,"Average"
"Cly Vizard","Male","Business Development","Abuja",0.024,51520,1236,52756,"Average"
"Gideon Hehir","Female","Business Development","Kaduna",0.024,66510,1596,68106,"Average"
"Maximo Guirard","Female","Business Development","Kaduna",0.024,37020,888,37908,"Average"
"Margy Elward","Male","Business Development","Lagos",0.024,103670,2488,106158,"Average"
"Thedrick Bothwell","Male","Business Development","Kaduna",0.024,69760,1674,71434,"Average"
"Aileen McCritchie","Male","Business Development","Lagos",0.024,80170,1924,82094,"Average"
"Oona Donan","Female","Business Development","Lagos",0.024,88360,2121,90481,"Average"
"Zebulon Allmen","Male","Business Development","Abuja",0.024,52140,1251,53391,"Average"
"Gray Seamon","Female","Business Development","Kaduna",0.024,78540,1885,80425,"Average"
"Dorise Labat","Male","Business Development","Kaduna",0.024,101610,2439,104049,"Average"
"Sheff Gerdts","Male","Business Development","Abuja",0.024,89160,2140,91300,"Average"
"Patience Noot","Female","Business Development","Abuja",0.024,49520,1188,50708,"Average"
"Charmane Heistermann","Female","Business Development","Kaduna",0.024,86560,2077,88637,"Average"
"Blaire Ruckman","Male","Business Development","Kaduna",0.024,61700,1481,63181,"Average"
"Billi Fellgate","Female","Business Development","Kaduna",0.024,68980,1656,70636,"Average"
"Melodie Torresi","Female","Business Development","Lagos",0.024,75090,1802,76892,"Average"
"Milton Lilie","Female","Business Development","Kaduna",0.024,46470,1115,47585,"Average"
"Trix Lutsch","Male","Business Development","Lagos",0.024,106400,2554,108954,"Average"
"Nicola Kiely","Female","Business Development","Kaduna",0.024,93740,2250,95990,"Average"
"Cyrillus Garci","Male","Business Development","Lagos",0.024,100360,2409,102769,"Average"
"Allyce Hincham","Male","Business Development","Lagos",0.024,101420,2434,103854,"Average"
"Frasier Straw","Male","Business Development","Lagos",0.024,71370,1713,73083,"Average"
"Phylys Benitez","Female","Product Management","Abuja",0.032,84420,2701,87121,"Average"
"Hobard Benninger","Female","Product Management","Abuja",0.032,86920,2781,89701,"Average"
"Reidar Skechley","Male","Product Management","Abuja",0.032,40770,1305,42075,"Average"
"Layton Crayden","Male","Product Management","Kaduna",0.032,40450,1294,41744,"Average"
"Tris Hynard","Female","Product Management","Kaduna",0.032,29080,931,30011,"Average"
"Sarene Creeboe","Male","Product Management","Kaduna",0.032,35830,1147,36977,"Average"
"Daron Biaggioli","Female","Product Management","Kaduna",0.032,112550,3602,116152,"Average"
"Gamaliel Ewins","Male","Product Management","Abuja",0.032,119660,3829,123489,"Average"
"Merrel Blind","Female","Product Management","Lagos",0.032,82120,2628,84748,"Average"
"Mallory Goldsberry","Male","Product Management","Abuja",0.032,29610,948,30558,"Average"
"Nickolai Artin","Female","Product Management","Lagos",0.032,110910,3549,114459,"Average"
"Althea Bronger","Male","Product Management","Kaduna",0.032,104340,3339,107679,"Average"
"Ansley Gounel","Female","Product Management","Lagos",0.032,38440,1230,39670,"Average"
"Fonzie O'Shea","Male","Product Management","Kaduna",0.032,80360,2572,82932,"Average"
"Addy Pimblett","Male","Product Management","Lagos",0.032,66460,2127,68587,"Average"
"Joyce Leyband","Female","Product Management","Lagos",0.032,68200,2182,70382,"Average"
"Antonino Forsdicke","Male","Product Management","Lagos",0.032,66370,2124,68494,"Average"
"Aeriela Aickin","Male","Product Management","Abuja",0.032,37550,1202,38752,"Average"
"Michael Sidry","Male","Product Management","Abuja",0.032,81260,2600,83860,"Average"
"Tamar MacGilfoyle","Male","Product Management","Kaduna",0.032,47270,1513,48783,"Average"
"Natalee Craiker","Male","Product Management","Abuja",0.032,111230,3559,114789,"Average"
"Elwira Lyddiard","Male","Product Management","Abuja",0.032,31280,1001,32281,"Average"
"Roanne Phizacklea","Female","Product Management","Abuja",0.032,35990,1152,37142,"Average"
"Camilla Castle","Female","Product Management","Kaduna",0.032,75480,2415,77895,"Average"
"Grier Kidsley","Female","Product Management","Abuja",0.032,51800,1658,53458,"Average"
"Gerrard Doorey","Male","Product Management","Abuja",0.032,110200,3526,113726,"Average"
"Theresita Chasmer","Female","Product Management","Lagos",0.032,106670,3413,110083,"Average"
"Andria Kimpton","Male","Product Management","Abuja",0.032,69120,2212,71332,"Average"
"Faun Rickeard","Male","Product Management","Lagos",0.032,74920,2397,77317,"Average"
"Antonino Forsdicke","Male","Product Management","Abuja",0.032,66370,2124,68494,"Average"
"Curtice Advani","Male","Product Management","Lagos",0.032,59810,1914,61724,"Average"
"Archibald Dyzart","Male","Product Management","Abuja",0.032,63020,2017,65037,"Average"
"Onofredo Hassan","Male","Product Management","Kaduna",0.032,52220,1671,53891,"Average"
"Callie Duckels","Male","Product Management","Abuja",0.032,53760,1720,55480,"Average"
"Garey Bird","Female","Product Management","Lagos",0.032,31830,1019,32849,"Average"
"Anabal Cooke","Female","Product Management","Kaduna",0.032,31920,1021,32941,"Average"
"Tadio Dowdle","Female","Product Management","Kaduna",0.032,91930,2942,94872,"Average"
"Cornie Arstall","Female","Product Management","Abuja",0.032,69970,2239,72209,"Average"
"Dominic Ortler","Female","Product Management","Abuja",0.032,66610,2132,68742,"Average"
"Anni Dinse","Male","Product Management","Lagos",0.032,119670,3829,123499,"Average"
"Andria Kimpton","Male","Product Management","Kaduna",0.032,69120,2212,71332,"Average"
"Shaun Kyrkeman","Male","Product Management","Kaduna",0.032,35010,1120,36130,"Average"
"Alisha Bloschke","Male","Product Management","Abuja",0.032,36480,1167,37647,"Average"
"Craggie Whistlecraft","Male","Product Management","Abuja",0.032,71240,2280,73520,"Average"
"Tiffani Mecozzi","Female","Training","Lagos",0.04,119750,4790,124540,"Average"
"Bernie Gorges","Female","Training","Lagos",0.04,99970,3999,103969,"Average"
"Nicol Giacomi","Female","Training","Kaduna",0.04,39750,1590,41340,"Average"
"Melisa Knott","Female","Training","Kaduna",0.04,86010,3440,89450,"Average"
"Vaughn Carvill","Female","Training","Lagos",0.04,84750,3390,88140,"Average"
"Eddy Stolze","Male","Training","Kaduna",0.04,47760,1910,49670,"Average"
"Moore Gligoraci","Female","Training","Lagos",0.04,49530,1981,51511,"Average"
"Simon Kembery","Male","Training","Lagos",0.04,99750,3990,103740,"Average"
"Kellsie Waby","Male","Training","Kaduna",0.04,79570,3183,82753,"Average"
"Avigdor Karel","Male","Training","Kaduna",0.04,71210,2848,74058,"Average"
"Harwilll Domotor","Male","Training","Kaduna",0.04,112370,4495,116865,"Average"
"Marissa Infante","Male","Training","Lagos",0.04,78840,3154,81994,"Average"
"Easter Pyke","Female","Training","Abuja",0.04,95680,3827,99507,"Average"
"Audry Yu","Female","Training","Abuja",0.04,101190,4048,105238,"Average"
"Myrilla Mercik","Female","Training","Kaduna",0.04,96660,3866,100526,"Average"
"Hartwell Pratchett","Female","Training","Lagos",0.04,42730,1709,44439,"Average"
"Alta Kaszper","Male","Training","Lagos",0.04,54970,2199,57169,"Average"
"Martelle Brise","Male","Training","Kaduna",0.04,79520,3181,82701,"Average"
"Drusy MacCombe","Male","Training","Kaduna",0.04,43510,1740,45250,"Average"
"Liane Bedburrow","Female","Training","Abuja",0.04,76620,3065,79685,"Average"
"Osborn Pawle","Male","Training","Abuja",0.04,38030,1521,39551,"Average"
"Gretchen Callow","Female","Training","Kaduna",0.04,33920,1357,35277,"Average"
"Daphne Francillo","Male","Training","Lagos",0.04,63370,2535,65905,"Average"
"Konstantin Timblett","Female","Training","Abuja",0.04,56250,2250,58500,"Average"
"Madge McCloughen","Male","Training","Kaduna",0.04,91310,3652,94962,"Average"
"Eberto William","Female","Research and Development","Abuja",0.033,57750,1906,59656,"Average"
"Vassili Flay","Male","Research and Development","Abuja",0.033,108970,3596,112566,"Average"
"Berny Bastide","Male","Research and Development","Kaduna",0.033,56710,1871,58581,"Average"
"Augusta Cheetham","Male","Research and Development","Abuja",0.033,105470,3481,108951,"Average"
"Cecilio Sprankling","Male","Research and Development","Abuja",0.033,109710,3620,113330,"Average"
"Latisha Jolly","Female","Research and Development","Lagos",0.033,58400,1927,60327,"Average"
"Debera Gow","Female","Research and Development","Lagos",0.033,39700,1310,41010,"Average"
"Jessika Jaycocks","Female","Research and Development","Lagos",0.033,67980,2243,70223,"Average"
"Myer McCory","Male","Research and Development","Kaduna",0.033,69710,2300,72010,"Average"
"Maritsa Marusic","Male","Research and Development","Kaduna",0.033,52750,1741,54491,"Average"
"Rhiamon Mollison","Female","Research and Development","Lagos",0.033,59430,1961,61391,"Average"
"Matias Cormack","Male","Research and Development","Kaduna",0.033,85460,2820,88280,"Average"
"Ernestus O'Hengerty","Female","Research and Development","Abuja",0.033,31020,1024,32044,"Average"
"Stephan Bussel","Male","Research and Development","Kaduna",0.033,48290,1594,49884,"Average"
"Jannel Labb","Female","Research and Development","Kaduna",0.033,47910,1581,49491,"Average"
"Cyril Medford","Female","Research and Development","Abuja",0.033,85720,2829,88549,"Average"
"Ferrell Skepper","Female","Research and Development","Kaduna",0.033,30250,998,31248,"Average"
"Rhiamon Mollison","Female","Research and Development","Abuja",0.033,59430,1961,61391,"Average"
"Abramo Labbez","Female","Research and Development","Lagos",0.033,77000,2541,79541,"Average"
"Genevra Friday","Female","Research and Development","Lagos",0.033,50450,1665,52115,"Average"
"Inger Chapelhow","Female","Research and Development","Lagos",0.033,84310,2782,87092,"Average"
"Murry Dryburgh","Male","Research and Development","Abuja",0.033,69070,2279,71349,"Average"
"Jolynn Lumbley","Male","Research and Development","Abuja",0.033,70020,2311,72331,"Average"
"Maritsa Marusic","Male","Research and Development","Abuja",0.033,52750,1741,54491,"Average"
"Shari McNee","Male","Research and Development","Lagos",0.033,75880,2504,78384,"Average"
"Naoma Cruse","Male","Research and Development","Kaduna",0.033,71540,2361,73901,"Average"
"Oates Dinan","Female","Research and Development","Lagos",0.033,104680,3454,108134,"Average"
"Bili Sizey","Male","Research and Development","Abuja",0.033,36040,1189,37229,"Average"
"Leena Bruckshaw","Male","Research and Development","Lagos",0.033,74280,2451,76731,"Average"
"Dayle O'Luney","Female","Research and Development","Lagos",0.033,46750,1543,48293,"Average"
"Larry Pioch","Male","Research and Development","Abuja",0.033,49670,1639,51309,"Average"
"Fedora Graffin","Male","Research and Development","Lagos",0.033,92500,3052,95552,"Average"
"Aloisia Minto","Male","Research and Development","Abuja",0.033,41420,1367,42787,"Average"
"Ede Mignot","Female","Research and Development","Kaduna",0.033,98640,3255,101895,"Average"
