Name,Gender,Department,Location,BonusRate,Salary,BonusAmount,TotalPaid,Rating
Niles Mahomet,Female,Human Resources,Abuja,0.027,"$50,020.","$1,351.","$51,371.",Average
Efrem Mathonnet,Female,Human Resources,Kaduna,0.027,"$107,020.","$2,890.","$109,910.",Average
Tyson Prescote,Male,Human Resources,Kaduna,0.027,"$29,420.",$794.,"$30,214.",Average
Pembroke Siflet,Female,Human Resources,Abuja,0.027,"$59,550.","$1,608.","$61,158.",Average
Royal Nowakowska,Male,Human Resources,Kaduna,0.027,"$79,570.","$2,148.","$81,718.",Average
Jo Benoi,Female,Human Resources,Kaduna,0.027,"$117,520.","$3,173.","$120,693.",Average
Bette-ann Leafe,Male,Human Resources,Abuja,0.027,"$93,500.","$2,524.","$96,024.",Average
Lincoln Greatex,Male,Human Resources,Abuja,0.027,"$34,650.",$936.,"$35,586.",Average
Bryant Scamp,Female,Human Resources,Kaduna,0.027,"$29,810.",$805.,"$30,615.",Average
Darcy Brewitt,Male,Human Resources,Kaduna,0.027,"$116,670.","$3,150.","$119,820.",Average
Hedvige Stelfox,Female,Human Resources,Abuja,0.027,"$33,800.",$913.,"$34,713.",Average
Benny Karolovsky,Male,Human Resources,Abuja,0.027,"$115,440.","$3,117.","$118,557.",Average
Anjanette Ferre,Male,Human Resources,Abuja,0.027,"$67,960.","$1,835.","$69,795.",Average
Krysta Elacoate,Male,Human Resources,Kaduna,0.027,"$106,930.","$2,887.","$109,817.",Average
Blythe Clipston,Female,Human Resources,Kaduna,0.027,"$35,670.",$963.,"$36,633.",Average
Joana Bartocci,Male,Human Resources,Abuja,0.027,"$52,670.","$1,422.","$54,092.",Average
Hinda Label,Female,Human Resources,Kaduna,0.027,"$92,700.","$2,503.","$95,203.",Average
Saundra O'Connel,Male,Human Resources,Abuja,0.027,"$85,330.","$2,304.","$87,634.",Average
Daisie McNeice,Male,Human Resources,Kaduna,0.027,"$50,310.","$1,358.","$51,668.",Average
Corabel Luberto,Female,Human Resources,Kaduna,0.027,"$57,820.","$1,561.","$59,381.",Average
Shay Chasney,Male,Human Resources,Lagos,0.027,"$72,550.","$1,959.","$74,509.",Average
Cecilla Northen,Male,Human Resources,Abuja,0.027,"$92,870.","$2,507.","$95,377.",Average
Monti Burdus,Female,Human Resources,Abuja,0.027,"$39,650.","$1,071.","$40,721.",Average
Selby Hacker,Male,Business Development,Lagos,0.024,"$37,800.",$907.,"$38,707.",Average
Valentia Etteridge,Female,Business Development,Lagos,0.024,"$118,100.","$2,834.","$120,934.",Average
Katya Hundy,Male,Business Development,Lagos,0.024,"$88,510.","$2,124.","$90,634.",Average
Wyn Treadger,Female,Business Development,Abuja,0.024,"$69,190.","$1,661.","$70,851.",Average
Forester Feakins,Male,Business Development,Abuja,0.024,"$47,290.","$1,135.","$48,425.",Average
Duky Wallace,Male,Business Development,Kaduna,0.024,"$102,140.","$2,451.","$104,591.",Average
Renaldo Thomassin,Male,Business Development,Kaduna,0.024,"$73,360.","$1,761.","$75,121.",Average
Aldrich Glenny,Male,Business Development,Kaduna,0.024,"$90,880.","$2,181.","$93,061.",Average
Felicdad Heibel,Male,Business Development,Abuja,0.024,"$60,800.","$1,459.","$62,259.",Average
Murial Ickovici,Female,Business Development,Lagos,0.024,"$72,500.","$1,740.","$74,240.",Average
Timmy Brenston,Male,Business Development,Lagos,0.024,"$43,700.","$1,049.","$44,749.",Average
Hatti Vezey,Female,Business Development,Kaduna,0.024,"$116,240.","$2,790.","$119,030.",Average
Colby Reuven,Male,Business Development,Lagos,0.024,"$101,790.","$2,443.","$104,233.",Average
Pooh Splevins,Female,Business Development,Lagos,0.024,"$31,020.",$744.,"$31,764.",Average
Cly Vizard,Male,Business Development,Abuja,0.024,"$51,520.","$1,236.","$52,756.",Average
Gideon Hehir,Female,Business Development,Kaduna,0.024,"$66,510.","$1,596.","$68,106.",Average
Maximo Guirard,Female,Business Development,Kaduna,0.024,"$37,020.",$888.,"$37,908.",Average
Margy Elward,Male,Business Development,Lagos,0.024,"$103,670.","$2,488.","$106,158.",Average
Thedrick Bothwell,Male,Business Development,Kaduna,0.024,"$69,760.","$1,674.","$71,434.",Average
Aileen McCritchie,Male,Business Development,Lagos,0.024,"$80,170.","$1,924.","$82,094.",Average
Oona Donan,Female,Business Development,Lagos,0.024,"$88,360.","$2,121.","$90,481.",Average
Zebulon Allmen,Male,Business Development,Abuja,0.024,"$52,140.","$1,251.","$53,391.",Average
Gray Seamon,Female,Business Development,Kaduna,0.024,"$78,540.","$1,885.","$80,425.",Average
Dorise Labat,Male,Business Development,Kaduna,0.024,"$101,610.","$2,439.","$104,049.",Average
Sheff Gerdts,Male,Business Development,Abuja,0.024,"$89,160.","$2,140.","$91,300.",Average
Patience Noot,Female,Business Development,Abuja,0.024,"$49,520.","$1,188.","$50,708.",Average
Charmane Heistermann,Female,Business Development,Kaduna,0.024,"$86,560.","$2,077.","$88,637.",Average
Blaire Ruckman,Male,Business Development,Kaduna,0.024,"$61,700.","$1,481.","$63,181.",Average
Billi Fellgate,Female,Business Development,Kaduna,0.024,"$68,980.","$1,656.","$70,636.",Average
Melodie Torresi,Female,Business Development,Lagos,0.024,"$75,090.","$1,802.","$76,892.",Average
Milton Lilie,Female,Business Development,Kaduna,0.024,"$46,470.","$1,115.","$47,585.",Average
Trix Lutsch,Male,Business Development,Lagos,0.024,"$106,400.","$2,554.","$108,954.",Average
Nicola Kiely,Female,Business Development,Kaduna,0.024,"$93,740.","$2,250.","$95,990.",Average
Cyrillus Garci,Male,Business Development,Lagos,0.024,"$100,360.","$2,409.","$102,769.",Average
Allyce Hincham,Male,Business Development,Lagos,0.024,"$101,420.","$2,434.","$103,854.",Average
Frasier Straw,Male,Business Development,Lagos,0.024,"$71,370.","$1,713.","$73,083.",Average
Phylys Benitez,Female,Product Management,Abuja,0.032,"$84,420.","$2,701.","$87,121.",Average
Hobard Benninger,Female,Product Management,Abuja,0.032,"$86,920.","$2,781.","$89,701.",Average
Reidar Skechley,Male,Product Management,Abuja,0.032,"$40,770.","$1,305.","$42,075.",Average
Layton Crayden,Male,Product Management,Kaduna,0.032,"$40,450.","$1,294.","$41,744.",Average
Tris Hynard,Female,Product Management,Kaduna,0.032,"$29,080.",$931.,"$30,011.",Average
Sarene Creeboe,Male,Product Management,Kaduna,0.032,"$35,830.","$1,147.","$36,977.",Average
Daron Biaggioli,Female,Product Management,Kaduna,0.032,"$112,550.","$3,602.","$116,152.",Average
Gamaliel Ewins,Male,Product Management,Abuja,0.032,"$119,660.","$3,829.","$123,489.",Average
Merrel Blind,Female,Product Management,Lagos,0.032,"$82,120.","$2,628.","$84,748.",Average
Mallory Goldsberry,Male,Product Management,Abuja,0.032,"$29,610.",$948.,"$30,558.",Average
Nickolai Artin,Female,Product Management,Lagos,0.032,"$110,910.","$3,549.","$114,459.",Average
Althea Bronger,Male,Product Management,Kaduna,0.032,"$104,340.","$3,339.","$107,679.",Average
Ansley Gounel,Female,Product Management,Lagos,0.032,"$38,440.","$1,230.","$39,670.",Average
Fonzie O'Shea,Male,Product Management,Kaduna,0.032,"$80,360.","$2,572.","$82,932.",Average
Addy Pimblett,Male,Product Management,Lagos,0.032,"$66,460.","$2,127.","$68,587.",Average
Joyce Leyband,Female,Product Management,Lagos,0.032,"$68,200.","$2,182.","$70,382.",Average
Antonino Forsdicke,Male,Product Management,Lagos,0.032,"$66,370.","$2,124.","$68,494.",Average
Aeriela Aickin,Male,Product Management,Abuja,0.032,"$37,550.","$1,202.","$38,752.",Average
Michael Sidry,Male,Product Management,Abuja,0.032,"$81,260.","$2,600.","$83,860.",Average
Tamar MacGilfoyle,Male,Product Management,Kaduna,0.032,"$47,270.","$1,513.","$48,783.",Average
Natalee Craiker,Male,Product Management,Abuja,0.032,"$111,230.","$3,559.","$114,789.",Average
Elwira Lyddiard,Male,Product Management,Abuja,0.032,"$31,280.","$1,001.","$32,281.",Average
Roanne Phizacklea,Female,Product Management,Abuja,0.032,"$35,990.","$1,152.","$37,142.",Average
Camilla Castle,Female,Product Management,Kaduna,0.032,"$75,480.","$2,415.","$77,895.",Average
Grier Kidsley,Female,Product Management,Abuja,0.032,"$51,800.","$1,658.","$53,458.",Average
Gerrard Doorey,Male,Product Management,Abuja,0.032,"$110,200.","$3,526.","$113,726.",Average
Theresita Chasmer,Female,Product Management,Lagos,0.032,"$106,670.","$3,413.","$110,083.",Average
Andria Kimpton,Male,Product Management,Abuja,0.032,"$69,120.","$2,212.","$71,332.",Average
Faun Rickeard,Male,Product Management,Lagos,0.032,"$74,920.","$2,397.","$77,317.",Average
Antonino Forsdicke,Male,Product Management,Abuja,0.032,"$66,370.","$2,124.","$68,494.",Average
Curtice Advani,Male,Product Management,Lagos,0.032,"$59,810.","$1,914.","$61,724.",Average
Archibald Dyzart,Male,Product Management,Abuja,0.032,"$63,020.","$2,017.","$65,037.",Average
Onofredo Hassan,Male,Product Management,Kaduna,0.032,"$52,220.","$1,671.","$53,891.",Average
Callie Duckels,Male,Product Management,Abuja,0.032,"$53,760.","$1,720.","$55,480.",Average
Garey Bird,Female,Product Management,Lagos,0.032,"$31,830.","$1,019.","$32,849.",Average
Anabal Cooke,Female,Product Management,Kaduna,0.032,"$31,920.","$1,021.","$32,941.",Average
Tadio Dowdle,Female,Product Management,Kaduna,0.032,"$91,930.","$2,942.","$94,872.",Average
Cornie Arstall,Female,Product Management,Abuja,0.032,"$69,970.","$2,239.","$72,209.",Average
Dominic Ortler,Female,Product Management,Abuja,0.032,"$66,610.","$2,132.","$68,742.",Average
Anni Dinse,Male,Product Management,Lagos,0.032,"$119,670.","$3,829.","$123,499.",Average
Andria Kimpton,Male,Product Management,Kaduna,0.032,"$69,120.","$2,212.","$71,332.",Average
Shaun Kyrkeman,Male,Product Management,Kaduna,0.032,"$35,010.","$1,120.","$36,130.",Average
Alisha Bloschke,Male,Product Management,Abuja,0.032,"$36,480.","$1,167.","$37,647.",Average
Craggie Whistlecraft,Male,Product Management,Abuja,0.032,"$71,240.","$2,280.","$73,520.",Average
Tiffani Mecozzi,Female,Training,Lagos,0.04,"$119,750.","$4,790.","$124,540.",Average
Bernie Gorges,Female,Training,Lagos,0.04,"$99,970.","$3,999.","$103,969.",Average
Nicol Giacomi,Female,Training,Kaduna,0.04,"$39,750.","$1,590.","$41,340.",Average
Melisa Knott,Female,Training,Kaduna,0.04,"$86,010.","$3,440.","$89,450.",Average
Vaughn Carvill,Female,Training,Lagos,0.04,"$84,750.","$3,390.","$88,140.",Average
Eddy Stolze,Male,Training,Kaduna,0.04,"$47,760.","$1,910.","$49,670.",Average
Moore Gligoraci,Female,Training,Lagos,0.04,"$49,530.","$1,981.","$51,511.",Average
Simon Kembery,Male,Training,Lagos,0.04,"$99,750.","$3,990.","$103,740.",Average
Kellsie Waby,Male,Training,Kaduna,0.04,"$79,570.","$3,183.","$82,753.",Average
Avigdor Karel,Male,Training,Kaduna,0.04,"$71,210.","$2,848.","$74,058.",Average
